"","data","model","seed","epochs","trials","accuracy","precision","recall","f1","auc","prc","LR00","LR01","LR10","LR11","time","batch_size","alpha","gamma","batch_size.1","alpha.1","gamma.1","nf","fc_dropout","conv_dropout","ks","filename","kss","conv_layers","hidden_size","rnn_layers","cell_dropout","rnn_dropout","n_heads","d_ff","encoder_layers","encoder_dropout","sig_name","brier","K","int_factor","train_time","hype_time","inf_time","lr_max","ESPatience","dilation","stoc","X0","prop"
"1","data_2real1bigdet","InceptionTime",0,10,100,1,1,1,1,1,1,18795,0,0,1205,873.007635504007,64,0.255413802598832,4.57285834784714,64,0.255413802598832,4.57285834784714,32,0.276323937460255,0.111950484351427,"40","data_2real1bigdet_InceptionTime_rand3_epochs10_trials100_hypeTruerandsamp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.06025
"886","data_2real1bigdet","LR",0,10,100,0.9398,0.503030303030303,0.0688796680497925,0.121167883211679,0.532258402793186,0.0907485602917138,18713,82,1122,83,4.33360730786808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"real1bigdet_LR_rand3_epochs10_trials100_hypeTrue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.06025
"115","data_2real1bigdet","LSTMAttention",0,10,100,0.99985,0.997516556291391,1,0.998756734355574,0.999920191540303,0.997516556291391,18792,3,0,1205,361.295557772741,64,0.255413802598832,4.57285834784714,64,0.255413802598832,4.57285834784714,NA,0.213410032708528,NA,NA,"drop_data_2real1bigdet_LSTMAttention_rand3_epochs10_trials100_hypeTruerandsamp",NA,NA,32,1,NA,0.276181487068296,8,128,3,0.377255167325199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.06025
"2","data_2real1bigdet","MLSTMFCN",0,10,100,1,1,1,1,1,1,18795,0,0,1205,284.294099060819,64,0.255413802598832,4.57285834784714,64,0.255413802598832,4.57285834784714,NA,0.479654412792728,NA,NA,"data_2real1bigdet_MLSTMFCN_rand3_epochs10_trials100_hypeTruerandsamp","[3, 5, 9]","[32, 128, 256]",100,2,0.266006609449298,0.430979654584938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.06025
"5","data_2real1bigdet","ResNet",0,10,100,1,1,1,1,1,1,18795,0,0,1205,332.576215971261,64,0.255413802598832,4.57285834784714,64,0.255413802598832,4.57285834784714,32,0.276323937460255,NA,"[3, 5, 9]","data_2real1bigdet_ResNet_rand3_epochs10_trials100_hypeTruerandsamp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.06025
"1087","data_2real1bigdet","LR",0,10,50,0.9397,0.49438202247191,0.0365145228215768,0.0680061823802164,0.517060134515337,0.0761021236421278,18750,45,1161,44,6.82193270884454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"data_2real1bigdet_stoc10_LR_rand3_epochs10_trials50_hypeTrue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,0.06025
"1085","data_2real1bigdet","InceptionTime",0,10,100,0.99985,1,0.997510373443983,0.998753635230577,0.998755186721992,0.997660373443983,18795,0,3,1202,1114.87800227106,32,0.497033615845005,4.69998545031248,32,0.497033615845005,4.69998545031248,128,0.310784901966518,0.236590652329338,"20","data_2real1bigdet_stoc10_InceptionTime_rand3_epochs10_trials100_hypeTruerandsamp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,0.06025
"1208","data_2real1bigdet","LSTMAttention",0,10,100,1,1,1,1,1,1,18795,0,0,1205,909.769666519016,32,0.478080055067491,3.08729925488785,32,0.478080055067491,3.08729925488785,NA,0.18836615084856,NA,NA,"drop_data_2real1bigdet_stoc10_LSTMAttention_rand3_epochs10_trials100_hypeTruerandsamp",NA,NA,64,2,NA,0.135692689705807,32,64,4,0.244316986817386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,0.06025
"1088","data_2real1bigdet","MLSTMFCN",0,10,100,0.99995,0.999170812603648,1,0.999585234342596,0.999973397180101,0.999170812603648,18794,1,0,1205,476.861778555438,32,0.401814271557677,1.15643706432377,32,0.401814271557677,1.15643706432377,NA,0.213781997572556,NA,NA,"data_2real1bigdet_stoc10_MLSTMFCN_rand3_epochs10_trials100_hypeTruerandsamp","[3, 5, 9]","[96, 128, 64]",120,3,0.393757653050691,0.419622984969367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,0.06025
"1092","data_2real1bigdet","ResNet",0,10,100,0.12335,0.0643078236738179,1,0.120844406558692,0.533572758712423,0.0643078236738179,1262,17533,0,1205,286.743884624913,96,0.173584410180314,4.9465719218252,96,0.173584410180314,4.9465719218252,64,0.21082885151585,NA,"[1, 7, 9]","data_2real1bigdet_stoc10_ResNet_rand3_epochs10_trials100_hypeTruerandsamp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,0.06025
