"","data_name","model_name","stoc","hype","imp","randnum_train","randnum_split","randnum_stoc","epochs","trials","folds","train_time","hype_time","inf_time","date","best_threshold","best_f1_score","accuracy_nothres_nocal","precision_nothres_nocal","recall_nothres_nocal","f1_nothres_nocal","auc_nothres_nocal","av_prec_nothres_nocal","brier_nothres_nocal","pr_auc_nothres_nocal","true_neg_nothres_nocal","false_pos_nothres_nocal","false_neg_nothres_nocal","true_pos_nothres_nocal","accuracy_nothres_cal","precision_nothres_cal","recall_nothres_cal","f1_nothres_cal","auc_nothres_cal","av_prec_nothres_cal","brier_nothres_cal","pr_auc_nothres_cal","true_neg_nothres_cal","false_pos_nothres_cal","false_neg_nothres_cal","true_pos_nothres_cal","accuracy","precision","recall","f1","auc","av_prec","brier","pr_auc","true_neg","false_pos","false_neg","true_pos","lr_max","batch_size","ESPatience","weight_decay","alpha","gamma","nf","fc_dropout","conv_dropout","ks","kss","conv_layers","hidden_size","rnn_layers","cell_dropout","rnn_dropout","max_depth","eta","subsample","colsample_bytree","n_estimators","min_child_weight","reg_alpha","reg_lambda","epochs.1","n_heads","d_ff","encoder_layers","encoder_dropout","learning_rate_init","prop"
"1","critical_1","InceptionTime",0.1,"True","False",8,3,4,50,200,2,1066.93941523903,72764.8039005919,48.4997332800413,"20241031-124104",0.97782373,0.99915611814346,0.9992,0.973727422003284,1,0.986688851913478,0.99999956553289,0.999985900161866,0.0871711976284994,0.999985888352956,19391,16,0,593,0.9992,0.973727422003284,1,0.986688851913478,0.99999956553289,0.999985900161866,0.000891265466862219,0.999985888352956,19391,16,0,593,0.99995,1,0.998313659359191,0.99915611814346,0.99999956553289,0.999985900161866,0.000891265466862219,0.999985888352956,19407,0,1,592,0.0004094191364341,64,10,0.0012123975860662,0.246739670763202,1.86401394085066,128,0.0823894019213618,0.298887091921143,"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02965
"2","critical_1","MLSTMFCN",0.1,"True","False",8,3,4,50,200,2,147.991440449026,54253.6105851859,21.0857129889773,"20241101-151510",0.9999981,1,1,1,1,1,1,1,0.136987788283536,1,19407,0,0,593,1,1,1,1,1,1,0.000212005561905633,1,19407,0,0,593,1,1,1,1,1,1,0.000212005561905633,1,19407,0,0,593,0.0486093737035686,64,5,0.000677294722094728,0.196070658255558,2.3141619429057,NA,0.0242625774176114,NA,NA,"[7, 5, 3]","[128, 256, 128]",60,2,0.113389487712518,0.492980045169242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02965
"3","critical_1","ResNet",0.1,"True","False",8,3,4,50,200,2,151.781907101162,36364.1110172248,13.1067867497914,"20241023-184820",0.9114231,1,1,1,1,1,1,1,0.0199403654102326,1,19407,0,0,593,1,1,1,1,1,1,4.73891227139275e-05,1,19407,0,0,593,1,1,1,1,1,1,4.73891227139275e-05,1,19407,0,0,593,0.0345771680341269,128,5,0.00573566006308499,0.376933393293669,1.56099128177839,32,0.0132745832435238,NA,"[7, 7, 7]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02965
"4","critical_1","XGBoost",0.1,"True","False",9,3,4,50,200,2,3.0675894409942,1714.023990371,1.33828110600007,"20241025-082443",0.750245630741119,1,0.9991,0.970540098199673,1,0.985049833887043,1,1,0.00769602904227467,1,19389,18,0,593,0.9999,0.996638655462185,1,0.998316498316498,1,1,0.000342934081372367,1,19405,2,0,593,1,1,1,1,1,1,0.000342934081372367,1,19407,0,0,593,NA,NA,5,NA,NA,4.03574507231494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0.254490582467847,0.979506943135964,0.676837640607693,149,10,0.744018288947351,2.52660206175061,NA,NA,NA,NA,NA,NA,0.02965
"5","order2_64","InceptionTime",0.1,"True","True",7,3,4,50,200,2,340.724729800946,65989.0309402719,13.1461266489932,"2024-10-15 20:26:43",0.41862494,0.993678887484197,0.99975,0.997455470737914,0.98989898989899,0.993662864385298,0.999994203409323,0.999711913570726,0.0395616105191682,0.99971154722501,19603,1,4,392,0.99975,0.997455470737914,0.98989898989899,0.993662864385298,0.999994203409323,0.999711913570726,0.000268250101027842,0.99971154722501,19603,1,4,392,0.99975,0.994936708860759,0.992424242424242,0.993678887484197,0.999994203409323,0.999711913570726,0.000268250101027842,0.99971154722501,19602,2,3,393,0.0389671896988403,128,10,0.0017049516753437,0.242157519756792,1.51947404550127,16,0.14262934473745,0.146024308872679,"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,0.0198
"6","order2_64","LSTMAttention",0.1,"True","True",7,3,4,50,200,2,118.955855777953,38906.0209579207,12.4990513760131,"2024-10-15 12:51:55",0.8445789,0.996216897856242,0.9998,0.992462311557789,0.997474747474748,0.994962216624685,0.999998454242486,0.999923618360517,0.015258388658853,0.999923521849269,19601,3,1,395,0.9998,0.992462311557789,0.997474747474748,0.994962216624685,0.999998454242486,0.999923618360517,0.000178232598219235,0.999923521849269,19601,3,1,395,0.99985,0.994962216624685,0.997474747474748,0.996216897856242,0.999998454242486,0.999923618360517,0.000178232598219235,0.999923521849269,19602,2,1,395,0.0036153945880836,256,10,0.0095467790772482,0.226453145634723,1.06470376076652,NA,0.124503262225668,NA,NA,NA,NA,64,1,NA,0.162578492246472,NA,NA,NA,NA,NA,NA,NA,NA,50,16,512,2,0.105257730241439,NA,0.0198
"7","order2_64","MLSTMFCN",0.1,"True","True",7,3,4,50,200,2,235.017014245968,66245.0649387576,14.1151932170615,"2024-10-16 08:04:13",0.50042224,0.962025316455696,0.9985,0.964467005076142,0.95959595959596,0.962025316455696,0.999752034732141,0.987451174833495,0.00672986845561765,0.987433526756559,19590,14,16,380,0.9985,0.964467005076142,0.95959595959596,0.962025316455696,0.999752034732141,0.987449235062358,0.00161560929814962,0.987431582603864,19590,14,16,380,0.9985,0.964467005076142,0.95959595959596,0.962025316455696,0.999752034732141,0.987449235062358,0.00161560929814962,0.987431582603864,19590,14,16,380,0.0064077920718267,64,10,0.0049134851291455,0.425532590942168,1.18429105634332,NA,0.116082000269805,NA,NA,"[3, 5, 3]","[64, 128, 64]",120,1,0.0159981010539953,0.698768827883393,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,0.0198
"8","order2_64","ResNet",0.1,"True","True",7,3,4,50,200,2,489.020475512021,61733.1511845291,32.9659992730012,"2024-10-16 08:08:35",0.5437457,0.984848484848485,0.99915,0.970223325062035,0.987373737373737,0.978723404255319,0.999932759548144,0.996216148660553,0.00632609242399303,0.996210546154594,19592,12,5,391,0.99915,0.970223325062035,0.987373737373737,0.978723404255319,0.999932759548144,0.996216148660553,0.00135375193583402,0.996210546154593,19592,12,5,391,0.9994,0.984848484848485,0.984848484848485,0.984848484848485,0.999932759548144,0.996216148660553,0.00135375193583402,0.996210546154593,19598,6,6,390,0.0058077120577219,64,10,0.0007690610656457,0.471049531493995,1.1698777664703,64,0.265716919116338,NA,"[7, 7, 7]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,0.0198
"9","order4_645","InceptionTime",0.1,"True","True",7,3,4,50,200,2,145.790067630005,35224.6187552819,16.9284095619805,"2024-10-15 20:29:12",0.61602396,0.997214484679666,0.9999,1,0.994444444444444,0.997214484679666,0.999994342611451,0.999719395685723,0.0254344777637245,0.999719040287741,19640,0,2,358,0.9999,1,0.994444444444444,0.997214484679666,0.99999434261145,0.999719395685723,0.000133808721870415,0.999719040287741,19640,0,2,358,0.9999,1,0.994444444444444,0.997214484679666,0.99999434261145,0.999719395685723,0.000133808721870415,0.999719040287741,19640,0,2,358,0.0544994684315029,256,10,0.0041576074526236,0.169424745820655,1.12915692818327,16,0.306065115027816,0.123463081375008,"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,0.018
"10","order4_645","LSTMAttention",0.1,"True","True",7,3,4,50,200,2,329.60874312697,61582.5728656179,12.7242895399686,"2024-10-16 08:03:51",0.93150526,0.997229916897507,0.99965,0.980926430517711,1,0.990371389270977,0.999988826657615,0.999351930818911,0.0251023190197039,0.999350847407784,19633,7,0,360,0.99965,0.980926430517711,1,0.990371389270977,0.999988826657615,0.999351930818911,0.000289729378004695,0.999350847407784,19633,7,0,360,0.9999,0.994475138121547,1,0.997229916897507,0.999988826657615,0.999351930818911,0.000289729378004695,0.999350847407784,19638,2,0,360,0.0050403868889677,128,10,0.0067500892511102,0.424688035082983,2.12922559136988,NA,0.0244921534981563,NA,NA,NA,NA,64,2,NA,0.0486301081716408,NA,NA,NA,NA,NA,NA,NA,NA,50,12,1024,2,0.0452307336323231,NA,0.018
